X4EVERDROP,X1MTHEFF,X1SCIEFF,X1TXMTSCOR,S1M8GRADE,S1S8GRADE,X1PAREDU,X1PAREDEXPCT,X1SCHOOLBEL,X1SCHOOLCLI,X1POVERTY,X1CONTROL,S1EDUEXPECT,S1SUREHSGRAD,X1FAMINCOME,X2SEX,S1FYAA,S1FYBA,S1FYLICENSE,S1FYAPPR,S1FYMILITARY,S1FYJOB,S1FYFAMILY,S1FYTRAVEL,S1FYVOLUN,S1FYNOTSURE,S1PAYOFF,S1GETINTOCLG,S1AFFORD,S1WORKING,X1PAR_SURVEY_MISSING,X1_DUAL_PARENT,MATH_NO_CLASS,SCI_NO_CLASS,X1RACE_1,X1RACE_2,X1RACE_3,X1RACE_4,X1RACE_5,X1RACE_6,X1RACE_7,X1RACE_8,X1LOCALE_1,X1LOCALE_2,X1LOCALE_3,X1LOCALE_4,X1REGION_1,X1REGION_2,X1REGION_3,X1REGION_4
0.0,0.1,0.25,65.7365,1,1,1,6,-0.39,-0.3,1,1.0,8,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,0.95,-0.05,50.2947,1,2,3,0,-0.39,-0.85,0,1.0,10,1,4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
0.0,-0.17,-0.48,43.2763,3,3,2,4,-0.39,-0.7,1,1.0,2,2,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1.0,-0.75,-1.33,49.3308,2,3,2,2,0.19,0.56,0,1.0,10,1,5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0.0,-0.17,0.06604246807201108,49.573,2,3,4,6,1.1,0.56,0,1.0,8,1,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,4,4,4,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
0.0,0.55,0.06604246807201108,53.9985,3,2,2,4,0.1,-0.3590853994490358,0,1.0,6,2,3,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,3,4,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0.0,1.34,1.1,73.529,1,1,7,6,0.21,-2.4,0,1.0,10,1,13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,3,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0,-0.58,-2.07,38.6225,3,2,4,6,0.18,-0.3590853994490358,0,1.0,11,1,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,4,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,0.1,-0.05,67.0552,1,1,3,6,0.98,-2.12,0,1.0,8,1,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0.0,-0.58,0.25,45.2292,3,3,3,0,0.16,-0.3590853994490358,0,1.0,4,1,5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0.0,-0.17,-0.05,63.5164,1,2,4,0,-0.04,-0.82,0,1.0,8,1,5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,1.34,-0.05,55.8121,2,2,3,8,-0.39,-1.51,1,1.0,6,1,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0.0,0.22,1.42,50.1433,2,2,4,6,1.1,-0.7,1,1.0,11,1,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,3,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1.0,0.07527073240239386,0.06604246807201108,27.9219,4,5,2,0,-0.73,-0.34,0,1.0,2,1,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,3,2,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0.0,0.1,0.06604246807201108,49.5211,1,1,4,6,-0.04,-0.3590853994490358,0,1.0,10,1,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,4,4,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1.0,-0.56,-0.48,63.2917,2,1,7,6,-0.39,-0.61,0,1.0,6,1,5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0.0,0.94,0.06604246807201108,67.7484,2,1,5,8,0.77,-0.3590853994490358,0,1.0,10,1,4,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,3,2,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0.0,0.1,0.25,47.1642,2,2,2,6,-0.04,0.69,0,1.0,9,1,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,4,3,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0.0,1.34,1.1,53.6645,2,3,4,8,1.59,-0.52,0,1.0,8,1,13,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4,4,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0.0,0.1,1.83,52.6311,1,2,5,8,-0.39,-1.98,0,1.0,10,1,13,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0.0,-2.48,-1.2,42.3864,4,1,3,10,-0.95,0.25,0,1.0,10,1,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1.0,0.1,0.06604246807201108,31.5936,1,3,2,0,-0.39,-0.93,0,1.0,11,2,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3,3,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0.0,0.55,0.25,63.0972,2,2,5,8,0.21,1.74,0,2.0,6,1,7,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,3,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0.0,0.1,0.25,57.5439,1,2,2,8,-0.04,-0.3590853994490358,1,1.0,10,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0.0,-0.61,0.25,38.1072,4,3,4,6,-0.39,-1.27,0,1.0,8,2,5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0.0,1.62,-0.89,61.6932,1,1,7,0,0.7,-0.3590853994490358,0,1.0,6,1,11,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1.0,-1.14,0.06604246807201108,30.5673,1,1,2,2,-1.2,-0.3590853994490358,0,1.0,10,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,2,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0.0,1.21,1.41,77.4288,1,1,5,10,0.98,-0.66,0,1.0,10,1,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0.0,-0.17,0.25,54.4463,3,3,2,0,-0.17,-0.3590853994490358,0,1.0,11,1,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1.0,0.1,-1.02,44.5891,1,2,1,2,0.49,0.12,0,1.0,4,1,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0.0,0.07527073240239386,-0.05,60.5147,2,1,4,6,-0.39,-0.09,0,1.0,6,1,4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1.0,0.1,0.25,49.8312,1,1,2,6,1.59,1.67,0,2.0,8,1,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,1.62,0.06604246807201108,56.3244,1,1,5,0,1.34,-0.68,0,1.0,10,1,5,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,3,4,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,0.1,0.69,49.2027,1,2,4,0,0.52,-0.31,0,1.0,11,1,5,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0.0,-0.41,0.25,49.547,2,2,2,10,-0.26,-1.71,0,1.0,8,1,4,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,4,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,0.07527073240239386,0.06604246807201108,52.3332,2,2,4,6,-0.04,0.39,0,2.0,11,2,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4,2,2,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.0,0.1,0.25,71.1744,1,1,3,8,-0.39,0.17,0,1.0,8,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0.0,1.62,1.09,75.5809,1,1,5,10,1.23,-0.61,0,1.0,10,1,6,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4,3,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0.0,-0.17,-0.05,57.4303,1,1,4,6,-0.39,-0.22,0,1.0,6,1,3,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1.0,-0.17,-0.9,39.2558,2,2,3,0,-0.88,-1.71,0,1.0,10,2,6,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1.0,-0.17,0.06604246807201108,55.5352,2,2,3,2,-0.64,-0.23,1,1.0,5,1,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,3,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
0.0,0.1,-0.05,47.1855,2,2,5,8,1.0,-1.12,1,1.0,4,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3,4,3,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1.0,0.1,-1.33,51.0166,5,5,3,0,-0.75,-0.34,0,1.0,2,3,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4,3,4,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1.0,-2.04,0.38,46.7809,4,5,2,6,-0.04,-0.22,0,1.0,6,1,3,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0.0,0.07527073240239386,0.06604246807201108,60.7838,1,1,4,8,-0.04,-1.43,0,1.0,11,2,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,4,4,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,0.07527073240239386,0.06604246807201108,47.3269,1,1,3,6,0.77,-0.41,0,1.0,10,1,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,3,4,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
