X1TXMTSCOR,X1MTHEFF,X1SCIEFF,X1SCHOOLBEL,X1SCHOOLCLI,S1M8GRADE,S1S8GRADE,X1PAREDU,X1PAREDEXPCT,S1EDUEXPECT,S1SUREHSGRAD,S1PAYOFF,S1GETINTOCLG,S1AFFORD,S1WORKING,X1PAR_SURVEY_MISSING,X1_DUAL_PARENT,X1POVERTY,MATH_NO_CLASS,SCI_NO_CLASS,S1FYFAMILY,S1FYMILITARY,X1CONTROL,X4EVERDROP
44.5891,0.1,-1.02,0.49,0.12,1,2,1,2,4,1,2,3,3,3,0,1,0,0,0,0.0,0.0,1.0,1.0
60.5147,0.07527073240239386,-0.05,-0.39,-0.09,2,1,4,6,6,1,3,3,3,3,0,1,0,1,0,0.0,0.0,1.0,0.0
49.8312,0.1,0.25,1.59,1.67,1,1,2,6,8,1,3,3,3,3,0,0,0,0,0,0.0,0.0,2.0,1.0
56.3244,1.62,0.06604246807201108,1.34,-0.68,1,1,4,10,10,1,3,3,3,4,1,1,0,0,1,0.0,0.0,1.0,0.0
49.2027,0.1,0.69,0.52,-0.31,1,2,3,6,6,1,3,3,3,3,1,1,0,0,0,0.0,0.0,1.0,0.0
49.547,-0.41,0.25,-0.26,-1.71,2,2,2,10,8,1,4,4,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
52.3332,0.07527073240239386,0.066042468072011,-0.04,0.39,2,2,4,6,5,2,4,2,2,3,0,1,0,1,0,0.0,1.0,2.0,0.0
71.1744,0.1,0.25,-0.39,0.17,1,1,3,8,8,1,3,3,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
75.5809,1.62,1.09,1.23,-0.61,1,1,5,10,10,1,4,3,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
57.4303,-0.17,-0.05,-0.39,-0.22,1,1,4,6,6,1,3,3,3,3,0,0,0,0,0,0.0,0.0,1.0,0.0
39.2558,-0.17,-0.9,-0.88,-1.71,2,2,2,7,10,2,3,3,2,2,1,1,0,0,0,1.0,0.0,1.0,1.0
55.5352,-0.17,0.06604246807201108,-0.64,-0.23,2,2,3,2,5,1,3,3,3,2,0,1,1,0,1,0.0,0.0,1.0,1.0
47.1855,0.1,-0.05,1.0,-1.12,2,2,5,8,4,1,3,4,3,4,0,1,1,0,0,1.0,0.0,1.0,0.0
51.0166,0.1,-1.33,-0.75,-0.34,5,5,2,3,2,3,3,4,3,4,1,1,1,0,0,0.0,0.0,1.0,1.0
